class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
28,1000,0,0.0,0.0,0.0,0.9951277277277277,0.36509323202872707
29,1000,860,0.9302325581395349,0.8,0.8602150537634408,0.9943665665665665,0.8050399645887165
30,1000,860,0.7906976744186046,0.68,0.7311827956989247,0.9703375375375375,0.6730667883236902
31,1000,1060,0.8301886792452831,0.88,0.8543689320388349,0.9998358358358358,0.7911146830892293
32,1000,860,0.6744186046511628,0.58,0.6236559139784946,0.9803941941941943,0.5074973264752415
33,1000,1760,0.4772727272727273,0.84,0.6086956521739131,0.9845417417417417,0.4223160748153389
34,1000,0,0.0,0.0,0.0,0.9965961961961961,0.4041145757520069
35,1000,920,0.45652173913043476,0.42,0.43749999999999994,0.9913967967967968,0.3477208661127238
36,1000,1320,0.3939393939393939,0.52,0.44827586206896547,0.9991521521521521,0.3692727621840525
37,1000,860,0.6976744186046512,0.6,0.6451612903225806,0.9995215215215215,0.5826339693537617
38,1000,960,0.8958333333333334,0.86,0.8775510204081632,0.9795707707707708,0.8696916815085138
39,1000,1080,0.6296296296296297,0.68,0.6538461538461539,0.9812854854854856,0.496789802220941
40,1000,1900,0.49473684210526314,0.94,0.6482758620689655,0.9993609609609609,0.4782254162410937
41,1000,1220,0.29508196721311475,0.36,0.32432432432432434,0.998708908908909,0.32763203727713897
42,1000,600,0.8,0.48,0.6,0.98753013013013,0.5430888411710882
43,1000,0,0.0,0.0,0.0,0.9978206206206206,0.2261703414383977
44,1000,1340,0.44776119402985076,0.6,0.5128205128205128,0.9970876876876877,0.35453574563369117
45,1000,700,1.0,0.7,0.8235294117647058,0.9666720720720721,0.7710614083345334
46,1000,0,0.0,0.0,0.0,0.9979077077077078,0.2605070981509047
47,1000,1860,0.45161290322580644,0.84,0.5874125874125874,0.9986910910910911,0.4060819985785759
48,1000,1320,0.7272727272727273,0.96,0.8275862068965517,0.9995255255255255,0.7076127073516454
49,1000,1100,0.6545454545454545,0.72,0.6857142857142857,0.9802430430430429,0.5692673810835023
50,1000,780,0.7692307692307693,0.6,0.6741573033707865,0.9996208208208208,0.6484551774126728
51,1000,960,1.0,0.96,0.9795918367346939,0.9939115115115115,0.9613527563696564
52,1000,1200,0.5,0.6,0.5454545454545454,0.9984818818818818,0.4006800765533569
53,1000,1240,0.4838709677419355,0.6,0.5357142857142857,0.9991117117117118,0.40986144910364264
54,1000,0,0.0,0.0,0.0,0.9961807807807808,0.1509893637749944
55,1000,1420,0.38028169014084506,0.54,0.44628099173553726,0.9819553553553554,0.33699284187755896
56,1000,1820,0.4835164835164835,0.88,0.624113475177305,0.9990162162162162,0.5485009062931343
57,1000,1340,0.6865671641791045,0.92,0.7863247863247863,0.9996568568568569,0.6580593712001979
58,1000,1200,0.6166666666666667,0.74,0.6727272727272727,0.9984906906906907,0.5114476035371374
59,1000,1260,0.4603174603174603,0.58,0.5132743362831858,0.9940976976976977,0.3188628850820798
60,1000,0,0.0,0.0,0.0,0.9948878878878878,0.1386505697420992
61,1000,1540,0.42857142857142855,0.66,0.5196850393700788,0.9668152152152152,0.48632060929842863
62,1000,820,0.5609756097560976,0.46,0.5054945054945056,0.9977809809809809,0.412348375369193
63,1000,1120,0.6785714285714286,0.76,0.7169811320754718,0.9991337337337337,0.5747672616703408
64,1000,0,0.0,0.0,0.0,0.9979057057057057,0.419686832946113
65,1000,640,0.9375,0.6,0.7317073170731707,0.996766966966967,0.6709490565723789
66,1000,1320,0.3484848484848485,0.46,0.396551724137931,0.9852326326326326,0.2979870804952613
67,1000,1620,0.25925925925925924,0.42,0.32061068702290074,0.978691891891892,0.2350564197614761
68,1000,380,0.05263157894736842,0.02,0.028985507246376812,0.9925989989989991,0.22737418263346199
69,1000,1080,0.9074074074074074,0.98,0.9423076923076924,0.9998854854854855,0.8935327635327636
70,1000,980,0.8367346938775511,0.82,0.8282828282828283,0.9853683683683683,0.7428678627051449
71,1000,1020,0.9215686274509803,0.94,0.9306930693069307,0.9960882882882882,0.868262352318552
72,1000,2180,0.3944954128440367,0.86,0.5408805031446542,0.9991515515515516,0.38277953632679473
73,1000,100,0.2,0.02,0.03636363636363636,0.9980360360360361,0.2393624153235525
74,1000,420,0.09523809523809523,0.04,0.056338028169014086,0.9987193193193193,0.3402446719678195
75,1000,880,0.9545454545454546,0.84,0.8936170212765958,0.9994906906906907,0.850666399374134
76,1000,1040,0.9038461538461539,0.94,0.9215686274509804,0.9999515515515516,0.931400172860847
77,1000,1740,0.4942528735632184,0.86,0.6277372262773723,0.9993855855855855,0.515921955878925
78,1000,800,0.95,0.76,0.8444444444444444,0.9954044044044044,0.7623664736725345
79,1000,840,0.9285714285714286,0.78,0.8478260869565217,0.9890064064064064,0.7722878346505688
80,1000,920,0.9565217391304348,0.88,0.9166666666666666,0.9993333333333334,0.8748137168888739
81,1000,820,0.926829268292683,0.76,0.8351648351648352,0.9893615615615616,0.7927889977809547
82,1000,1620,0.5679012345679012,0.92,0.7022900763358778,0.9994232232232232,0.5417283751027719
83,1000,920,0.9565217391304348,0.88,0.9166666666666666,0.9930374374374376,0.8606555840801636
84,1000,980,0.9591836734693877,0.94,0.9494949494949495,0.9992806806806808,0.9107849528616621
85,1000,1660,0.5421686746987951,0.9,0.6766917293233082,0.9991073073073073,0.5127283721274317
86,1000,0,0.0,0.0,0.0,0.9987391391391391,0.37118231292274
87,1000,1040,0.9230769230769231,0.96,0.9411764705882353,0.9994322322322322,0.8912345643813399
88,1000,980,0.9795918367346939,0.96,0.9696969696969697,0.9999695695695696,0.9602101434633259
89,1000,960,0.9375,0.9,0.9183673469387755,0.99396996996997,0.8684185421095574
90,1000,1000,0.98,0.98,0.98,0.9999801801801802,0.9705010101010101
91,1000,960,0.9583333333333334,0.92,0.9387755102040817,0.9827687687687687,0.9030569511849478
92,1000,1000,0.96,0.96,0.96,0.9999575575575577,0.9404679245283019
93,1000,1040,0.8653846153846154,0.9,0.8823529411764707,0.99251991991992,0.7976425846611284
94,1000,880,0.9772727272727273,0.86,0.9148936170212766,0.9737461461461461,0.8827446782596309
95,1000,1120,0.8571428571428571,0.96,0.9056603773584904,0.9998770770770771,0.8384315398000614
96,1000,860,0.9767441860465116,0.84,0.9032258064516129,0.9720622622622621,0.8702761689736421
97,1000,1040,0.8653846153846154,0.9,0.8823529411764707,0.999839039039039,0.880554786920763
98,1000,780,1.0,0.78,0.8764044943820225,0.9998046046046046,0.9044992961390892
99,1000,880,0.9090909090909091,0.8,0.8510638297872342,0.9835193193193192,0.7722803184948308
100,1000,980,1.0,0.98,0.98989898989899,0.9997459459459459,0.9814409221902017
101,1000,0,0.0,0.0,0.0,0.998785985985986,0.31570202425539506
102,1000,1040,0.9615384615384616,1.0,0.9803921568627451,0.99997997997998,0.9615384615384616
103,1000,2440,0.39344262295081966,0.96,0.5581395348837209,0.9995065065065065,0.5622828793302885
104,1000,1000,0.88,0.88,0.88,0.9866898898898899,0.7984751926096983
105,1000,960,0.9583333333333334,0.92,0.9387755102040817,0.9711711711711712,0.8942895110413415
106,1000,820,0.926829268292683,0.76,0.8351648351648352,0.9976568568568569,0.7461489843732192
107,1000,820,0.9512195121951219,0.78,0.8571428571428571,0.974224024024024,0.7744777954780148
108,1000,840,0.8809523809523809,0.74,0.8043478260869565,0.9846048048048047,0.7278837924851558
109,1000,1660,0.5301204819277109,0.88,0.6616541353383459,0.9961167167167168,0.4848896989255884
110,1000,0,0.0,0.0,0.0,0.9992004004004004,0.4548358877964141
